Stop_Words,Pre-Processing,N_Grams,No_of_Features,Classifier,Accuracy,Precision,Recall,F-Score
Not Removed,Stemming,"(1, 1)",2000,SVM,0.8565121412803532,0.8579975325345437,0.7965888155835555,0.8218386392292686
Not Removed,Stemming,"(1, 1)",1000,SVM,0.8498896247240618,0.8485537624714509,0.7897938850598113,0.8134011248753253
Not Removed,Lemmatizing,"(1, 1)",1000,LogReg,0.847682119205298,0.8576016879192024,0.7821939414575301,0.8106204526869
Not Removed,None,"(1, 1)",1000,SVM,0.847682119205298,0.8527352990378859,0.7821939414575301,0.8092338960097147
Not Removed,Stemming,"(1, 1)",1000,LogReg,0.8454746136865342,0.8480034458295328,0.784144167545687,0.8083795654184005
Not Removed,None,"(1, 1)",2000,SVM,0.847682119205298,0.8478017617742278,0.7803823695115337,0.8071055056136233
Not Removed,Stemming,"(1, 1)",2000,LogReg,0.8388520971302428,0.8437295393817132,0.7770853846248352,0.8031399417588431
Not Removed,None,"(1, 1)",1000,LogReg,0.8432671081677704,0.8453576462297393,0.7764122977448519,0.8025672982762555
Not Removed,Lemmatizing,"(1, 1)",2000,SVM,0.847682119205298,0.8408213061675474,0.7767592256195414,0.8024715481542509
Not Removed,None,"(1, 1)",2000,LogReg,0.8366445916114791,0.8393549280177187,0.7710331605714423,0.7969585730807562
Not Removed,Lemmatizing,"(1, 1)",1000,SVM,0.8410596026490066,0.8423174903736816,0.7670007821965741,0.7959932394633712
Not Removed,Lemmatizing,"(1, 1)",2000,LogReg,0.8344370860927153,0.8340310397955731,0.771435667110711,0.7953917197504937
Not Removed,Stemming,"(1, 1)",2000,RandFrst,0.8410596026490066,0.8866233347365423,0.7476365904185892,0.793146787281373
Not Removed,Stemming,"(1, 3)",2000,SVM,0.8388520971302428,0.87410554789976,0.7459636726147538,0.7870266925945509
Not Removed,Lemmatizing,"(1, 2)",2000,SVM,0.8366445916114791,0.8893698893698895,0.7414591681102493,0.7863640972137261
Not Removed,Lemmatizing,"(1, 2)",2000,LogReg,0.8300220750551877,0.851878509709835,0.7464217578186018,0.7834724150565003
Not Removed,Stemming,"(1, 2)",2000,SVM,0.8344370860927153,0.8882379450202794,0.7354069440568564,0.7807207850460446
Not Removed,Stemming,"(1, 2)",2000,LogReg,0.82560706401766,0.846384479717813,0.7406401141059237,0.7777892372570591
Not Removed,Lemmatizing,"(1, 1)",1000,RandFrst,0.8366445916114791,0.8564393117906457,0.7372117880592457,0.7771808029810527
Not Removed,Stemming,"(1, 1)",1000,RandFrst,0.8344370860927153,0.8582878159353471,0.735934648851072,0.7767263754715108
Not Removed,None,"(1, 1)",2000,RandFrst,0.8344370860927153,0.8630180248675329,0.7343869293021835,0.7766794495618461
Not Removed,Stemming,"(1, 2)",4000,LogReg,0.8233995584988962,0.8439906905096778,0.7394949010963038,0.7757036526899707
Not Removed,Lemmatizing,"(1, 1)",1000,NaiveBayes,0.8167770419426048,0.8003072883400751,0.7571996309576671,0.773874218650338
Not Removed,Lemmatizing,"(1, 2)",4000,LogReg,0.8233995584988962,0.8425706615031503,0.7379471815474153,0.773574125275328
Not Removed,None,"(1, 1)",1000,RandFrst,0.8322295805739515,0.8546315345657,0.7329778638954559,0.7733039067814155
Not Removed,None,"(1, 2)",4000,LogReg,0.8233995584988962,0.844902589648231,0.7362675357999731,0.773161930080475
Not Removed,None,"(1, 2)",2000,LogReg,0.8233995584988962,0.8432229763460047,0.7362675357999731,0.7730497754007918
Not Removed,Lemmatizing,"(1, 3)",2000,SVM,0.8300220750551877,0.8640077269697587,0.7313049460916204,0.772793085046624
Not Removed,Stemming,"(1, 3)",2000,NaiveBayes,0.8145695364238411,0.7742497553733511,0.7690958053319245,0.7713955963018124
Not Removed,Lemmatizing,"(1, 3)",2000,NaiveBayes,0.8101545253863135,0.7710051430926653,0.7665415269155772,0.7683918128654971
Not Removed,Stemming,"(1, 2)",4000,SVM,0.8211920529801324,0.8717477354686656,0.7202693634604799,0.7673607986209666
Not Removed,None,"(1, 2)",2000,SVM,0.8233995584988962,0.8743969298245614,0.7211507240729919,0.7663581892964211
Not Removed,Lemmatizing,"(1, 2)",4000,SVM,0.8211920529801324,0.8741877596865554,0.717041998164149,0.764909382043672
Not Removed,Stemming,"(1, 3)",4000,SVM,0.82560706401766,0.8885167673583748,0.7175208522373923,0.7648064063850804
Not Removed,Stemming,"(1, 2)",2000,NaiveBayes,0.8035320088300221,0.7604694770470171,0.7690329136851638,0.7645816833964095
Not Removed,None,"(1, 3)",2000,NaiveBayes,0.8035320088300221,0.7660459767531588,0.7610304635436137,0.7634704790057474
Not Removed,None,"(1, 3)",2000,SVM,0.8233995584988962,0.8497098573464194,0.7242461631707687,0.7633294401467356
Not Removed,Stemming,"(1, 2)",4000,NaiveBayes,0.8057395143487859,0.7610368473467064,0.766686909001345,0.7628581325775469
Not Removed,Lemmatizing,"(1, 3)",4000,SVM,0.8211920529801324,0.874930413805901,0.7148346476224909,0.757386242276669
Not Removed,Stemming,"(1, 2)",2000,RandFrst,0.8211920529801324,0.8484303336326224,0.7154942786152606,0.7572256254461543
Not Removed,Lemmatizing,"(1, 2)",2000,NaiveBayes,0.7969094922737306,0.7462757868740054,0.7635218503132005,0.7540849673202614
Not Removed,Lemmatizing,"(1, 2)",4000,NaiveBayes,0.8035320088300221,0.7499133835351864,0.7589550392005097,0.7535881822608562
Not Removed,Stemming,"(1, 3)",2000,LogReg,0.8079470198675497,0.8354251012145749,0.7114545872582108,0.7512925925367431
