Stop_Words,Pre-Processing,N_Grams,No_of_Features,Classifier,Accuracy,Precision,Recall,F-Score
Not Removed,Stemming,"(1, 1)",2000,RandFrst,0.8233995584988962,0.8378829184607676,0.728133159459869,0.7656207042142885
Not Removed,Stemming,"(1, 2)",2000,NaiveBayes,0.8079470198675497,0.8371693523867437,0.7284795022959839,0.7644081956303187
Removed,Lemmatizing,"(1, 1)",1000,LogReg,0.8167770419426048,0.7900152070941852,0.7452136531622213,0.7627180042811008
Not Removed,None,"(2, 2)",2000,SVM,0.8167770419426048,0.8541795245536399,0.71603543929669,0.7597721120344311
Not Removed,None,"(1, 1)",1000,RandFrst,0.8233995584988962,0.8418588399720474,0.7199987831197651,0.7594844367931842
Not Removed,None,"(1, 2)",2000,NaiveBayes,0.8123620309050773,0.8372011804355038,0.7228994043722272,0.7590174660990598
Not Removed,None,"(1, 1)",2000,NaiveBayes,0.8123620309050773,0.8058649497913654,0.7369608065107774,0.758926306978255
Not Removed,None,"(1, 1)",2000,RandFrst,0.82560706401766,0.840830039855776,0.7194643503819425,0.7579115703277765
Removed,Stemming,"(1, 1)",2000,LogReg,0.8101545253863135,0.7789313549938243,0.7447415270325849,0.7577284860370331
Not Removed,Lemmatizing,"(1, 2)",2000,RandFrst,0.8167770419426048,0.8561295433638239,0.7116561330471324,0.7564229985779622
Not Removed,Lemmatizing,"(2, 3)",2000,LogReg,0.8101545253863135,0.8429578279535598,0.7152994607699458,0.75585346861453
Not Removed,Lemmatizing,"(2, 2)",2000,LogReg,0.8123620309050773,0.8491339342012537,0.7120653675300082,0.7556466824791986
Not Removed,None,"(2, 2)",2000,LogReg,0.8123620309050773,0.8491339342012537,0.7120653675300082,0.7556466824791986
Not Removed,Lemmatizing,"(2, 2)",4000,NaiveBayes,0.8035320088300221,0.8070588235294118,0.724509430529302,0.7549281045751634
Not Removed,Stemming,"(2, 2)",4000,NaiveBayes,0.8057395143487859,0.8226591943501088,0.719331839144814,0.7545668701145732
Not Removed,None,"(2, 2)",4000,NaiveBayes,0.8035320088300221,0.8111992734361156,0.7212820652329711,0.753755284586001
Not Removed,Lemmatizing,"(1, 2)",2000,NaiveBayes,0.7902869757174393,0.7427751588440253,0.7661451632813409,0.7529814980483681
Not Removed,Stemming,"(1, 3)",2000,NaiveBayes,0.7947019867549668,0.7455044122960165,0.7608289177546922,0.7521796913512424
Not Removed,Lemmatizing,"(2, 2)",2000,SVM,0.8123620309050773,0.8642398834542906,0.7039309911899041,0.7510076625067844
Removed,Stemming,"(1, 2)",2000,LogReg,0.8123620309050773,0.7903681267775228,0.7263906220656658,0.7509586187755731
Not Removed,Stemming,"(2, 2)",2000,LogReg,0.8101545253863135,0.8451769627222293,0.7075608630255036,0.7507164866169208
Not Removed,Stemming,"(2, 3)",2000,LogReg,0.8057395143487859,0.8449845578320065,0.7079700975083792,0.7498322876501909
Not Removed,Stemming,"(1, 3)",4000,NaiveBayes,0.7858719646799117,0.7383925697733229,0.7651386044138819,0.7497405743841022
Removed,Lemmatizing,"(1, 1)",1000,SVM,0.8035320088300221,0.7803019609702847,0.7330395854650676,0.7491981095985545
Not Removed,None,"(2, 3)",2000,LogReg,0.8035320088300221,0.8407774227902024,0.7082406778490941,0.7487914983999119
Not Removed,Stemming,"(1, 2)",2000,RandFrst,0.8145695364238411,0.8452994265506605,0.7005649717514123,0.7435802506909811
Not Removed,Stemming,"(2, 2)",4000,LogReg,0.8057395143487859,0.8520766275257293,0.6973999130632679,0.7434523809523809
Removed,Stemming,"(1, 1)",1000,RandFrst,0.8013245033112583,0.7951418951418953,0.7140779002263514,0.7434183981983059
Removed,Lemmatizing,"(1, 1)",2000,SVM,0.7969094922737306,0.7649032321446114,0.7307558873894351,0.7431870353084583
Not Removed,Lemmatizing,"(2, 2)",4000,LogReg,0.8035320088300221,0.8508113920504025,0.6945750543062057,0.740674898864286
Removed,Lemmatizing,"(1, 3)",2000,LogReg,0.8057395143487859,0.7861040855465183,0.7157086952528214,0.7405493677476628
Not Removed,Lemmatizing,"(1, 3)",2000,RandFrst,0.8145695364238411,0.8404195804195805,0.6988853260039701,0.7404643521723889
Removed,Stemming,"(1, 1)",1000,LogReg,0.7991169977924945,0.761104931405265,0.7272579417523893,0.7400821411721455
Not Removed,Lemmatizing,"(1, 3)",4000,NaiveBayes,0.7748344370860927,0.7241025761896905,0.7570732626255712,0.7371181722745493
Not Removed,None,"(2, 2)",4000,LogReg,0.7991169977924945,0.8510707551405226,0.6887934105935275,0.7360238693467336
Removed,None,"(1, 2)",4000,NaiveBayes,0.7947019867549668,0.7692778569338303,0.7159096560031686,0.7359408152554718
Not Removed,Stemming,"(1, 3)",2000,RandFrst,0.8101545253863135,0.8457182457182456,0.6931036822912918,0.7356659531978376
Not Removed,Stemming,"(2, 2)",2000,SVM,0.7991169977924945,0.8517966038089878,0.6883976319978657,0.7351028981520842
Removed,Lemmatizing,"(1, 2)",2000,LogReg,0.8013245033112583,0.7762246935834821,0.710322830135805,0.7348504269947229
Not Removed,Stemming,"(2, 3)",4000,SVM,0.7991169977924945,0.8556123950752617,0.6882657057993119,0.7347188078715354
Removed,None,"(1, 3)",2000,LogReg,0.7991169977924945,0.7767140944766945,0.7104614842779658,0.7346400213162804
Not Removed,Lemmatizing,"(1, 2)",4000,RandFrst,0.8079470198675497,0.843275837477068,0.6902788235342298,0.7335117396165473
Not Removed,None,"(1, 3)",4000,NaiveBayes,0.7660044150110376,0.7186516186516186,0.7598352297358727,0.7333406285883535
Not Removed,Stemming,"(2, 3)",4000,LogReg,0.8013245033112583,0.8345362456473567,0.6910905645563741,0.7331278521544009
Not Removed,None,"(1, 2)",4000,RandFrst,0.8035320088300221,0.843164024837055,0.688120323713544,0.7329955684269417
Removed,Stemming,"(1, 1)",2000,SVM,0.7902869757174393,0.747558157194456,0.7270563959634678,0.7325256802321022
Not Removed,None,"(1, 2)",2000,RandFrst,0.8101545253863135,0.8266511867905058,0.6931036822912918,0.7322512463103669
Not Removed,None,"(2, 3)",2000,SVM,0.7991169977924945,0.8580000638345409,0.6880018534022042,0.7320383994347069
Removed,Lemmatizing,"(1, 1)",2000,LogReg,0.7947019867549668,0.7682335235196551,0.7103784088003842,0.7317154730195937
Not Removed,Lemmatizing,"(2, 3)",2000,NaiveBayes,0.7814569536423841,0.7307656463132567,0.7357453888722153,0.7315695368542693
Not Removed,Stemming,"(2, 2)",4000,SVM,0.7969094922737306,0.8561045364891519,0.6826092603415805,0.7314987856873638
Removed,None,"(1, 1)",1000,SVM,0.7947019867549668,0.7644549034083917,0.7170969917901537,0.7312521368973375
Not Removed,Stemming,"(2, 3)",2000,NaiveBayes,0.7792494481236203,0.7283276710105978,0.7343363234654877,0.7305582580834238
Removed,Stemming,"(1, 2)",4000,LogReg,0.7969094922737306,0.7863546324391636,0.7021053783181194,0.7299575168179896
Removed,Stemming,"(1, 1)",1000,NaiveBayes,0.7836644591611479,0.7657668940325766,0.712619399060077,0.7298235912361549
Removed,Lemmatizing,"(1, 1)",1000,NaiveBayes,0.7924944812362031,0.7711167530589936,0.7141048120007794,0.7294062257671431
Not Removed,None,"(2, 3)",4000,SVM,0.7947019867549668,0.8459973463069438,0.6855795011844106,0.729222534739247
Not Removed,None,"(2, 2)",2000,NaiveBayes,0.7902869757174393,0.8206216905913569,0.6941231120073903,0.7288346492598627
Not Removed,Stemming,"(2, 2)",2000,NaiveBayes,0.7924944812362031,0.8297223878619228,0.6937206054681214,0.7288094604635805
Not Removed,Stemming,"(1, 3)",4000,RandFrst,0.8079470198675497,0.8555759075377315,0.6852398862919027,0.7285816793012577
Not Removed,Lemmatizing,"(2, 2)",2000,NaiveBayes,0.7947019867549668,0.8227879621631421,0.6934500251274068,0.7277779356313268
Removed,Lemmatizing,"(1, 1)",1000,RandFrst,0.7991169977924945,0.7928864429666999,0.6951162149876353,0.727722055300263
Removed,Stemming,"(1, 2)",2000,SVM,0.7991169977924945,0.7812269077168397,0.6980797278868582,0.7270654361021035
Removed,Stemming,"(1, 1)",1000,SVM,0.7880794701986755,0.7465952629745733,0.717908732812298,0.7268706015245389
Not Removed,None,"(2, 3)",2000,NaiveBayes,0.7770419426048565,0.727171417848418,0.7282840994120948,0.7266096866096866
Not Removed,Lemmatizing,"(2, 2)",4000,SVM,0.7947019867549668,0.8510308730538285,0.6782366820356299,0.726353103332737
Not Removed,None,"(2, 2)",4000,SVM,0.7947019867549668,0.8510308730538285,0.6782366820356299,0.726353103332737
Removed,None,"(1, 2)",2000,LogReg,0.7947019867549668,0.7716163447495815,0.7000366819186223,0.7258362555994301
Removed,Lemmatizing,"(1, 2)",4000,NaiveBayes,0.7858719646799117,0.7850542615753867,0.6980235641837044,0.7257201520188731
Not Removed,Stemming,"(2, 3)",2000,SVM,0.7924944812362031,0.8299778011449935,0.6858500815251253,0.7256737400351888
Not Removed,Lemmatizing,"(2, 3)",4000,LogReg,0.7947019867549668,0.8261000316555872,0.6841637078340761,0.7255779946045434
Not Removed,Lemmatizing,"(1, 3)",4000,RandFrst,0.8057395143487859,0.8385685490003955,0.6825469537333945,0.725286246837971
Removed,Stemming,"(1, 3)",4000,LogReg,0.7947019867549668,0.7783396451605501,0.6938458037230685,0.7231138304271534
Not Removed,Lemmatizing,"(2, 3)",2000,SVM,0.7924944812362031,0.8444022977439748,0.6795272771310176,0.7230975260146488
Not Removed,None,"(2, 3)",4000,NaiveBayes,0.7947019867549668,0.8178969449740006,0.690090733632522,0.7226954636495385
Not Removed,None,"(1, 3)",2000,RandFrst,0.8035320088300221,0.8478043343081589,0.6780424492288898,0.7218484446414634
Removed,None,"(1, 1)",1000,LogReg,0.7902869757174393,0.7723169423938016,0.6950465953972675,0.721473940783154
Not Removed,None,"(2, 3)",4000,LogReg,0.7902869757174393,0.8250851099112807,0.6768343445725092,0.7190024877264823
Not Removed,Stemming,"(2, 3)",4000,NaiveBayes,0.7947019867549668,0.8327613190192471,0.6867314421376373,0.7185574059380996
Not Removed,Lemmatizing,"(2, 3)",4000,SVM,0.7836644591611479,0.8530481833792448,0.6684916944998768,0.7181648437802943
Removed,Stemming,"(1, 1)",2000,NaiveBayes,0.7748344370860927,0.7616270384082092,0.7009241854361666,0.7176047768142094
Removed,None,"(1, 1)",1000,NaiveBayes,0.7726269315673289,0.7401314184938558,0.7031382639214317,0.7165407982858586
Not Removed,Lemmatizing,"(2, 3)",4000,NaiveBayes,0.7924944812362031,0.8132468596425563,0.6855862291280176,0.7165207510021231
Removed,Stemming,"(1, 3)",2000,LogReg,0.7924944812362031,0.7755991285403051,0.6875297272725677,0.7161201180809024
Removed,None,"(1, 3)",2000,NaiveBayes,0.7704194260485652,0.7125409177938361,0.7212253164912429,0.7159105799722201
Removed,Stemming,"(1, 2)",4000,NaiveBayes,0.7836644591611479,0.7757045009225778,0.6887439748339808,0.7156108061718337
Removed,None,"(1, 3)",4000,NaiveBayes,0.7947019867549668,0.8209061525369276,0.6896949550368604,0.7154165315506331
Removed,None,"(1, 1)",2000,RandFrst,0.7880794701986755,0.7777914567109483,0.6875785779935399,0.7153237008183108
Not Removed,Stemming,"(1, 2)",4000,RandFrst,0.7969094922737306,0.8309542768370844,0.6727952382540344,0.7150150150150149
Removed,Stemming,"(1, 1)",2000,RandFrst,0.7902869757174393,0.7667617729636147,0.6869122190571635,0.7140274094916456
Not Removed,Stemming,"(3, 3)",2000,NaiveBayes,0.7748344370860927,0.7401631465461254,0.6970725839808248,0.7138981930213096
Not Removed,Stemming,"(3, 3)",4000,NaiveBayes,0.7704194260485652,0.7235650623885919,0.7053523424066966,0.7136208628220401
Not Removed,Lemmatizing,"(3, 3)",4000,NaiveBayes,0.7704194260485652,0.7225520461898602,0.7053523424066966,0.7131552505179964
Removed,Lemmatizing,"(1, 2)",4000,LogReg,0.7880794701986755,0.7773196983903734,0.6825396407512129,0.7129828232436636
Removed,None,"(1, 2)",4000,LogReg,0.7858719646799117,0.7757893205296086,0.6828102210919277,0.7129555829648234
Removed,None,"(1, 1)",2000,LogReg,0.7814569536423841,0.7577374732547146,0.6882583928171303,0.7128999281684781
Removed,None,"(1, 1)",2000,NaiveBayes,0.7748344370860927,0.751482460451082,0.6961491005909474,0.7120392609263005
Removed,Lemmatizing,"(1, 1)",2000,NaiveBayes,0.7770419426048565,0.7561587730732713,0.6956146678531249,0.7105283729524215
Not Removed,None,"(1, 3)",4000,RandFrst,0.7924944812362031,0.84073830335347,0.6654658749924677,0.7100936782678827
Removed,Stemming,"(1, 2)",2000,NaiveBayes,0.7792494481236203,0.7911751607099954,0.6857939178219716,0.7100178960473077
Removed,None,"(1, 1)",1000,RandFrst,0.7814569536423841,0.7668503361782809,0.6803878688741342,0.7091859179693675
Removed,Lemmatizing,"(1, 2)",2000,SVM,0.7902869757174393,0.7621215739856183,0.6830252227680632,0.7089385425148048
Removed,None,"(1, 2)",2000,SVM,0.7902869757174393,0.7644875607798708,0.6814775032191748,0.7086158131254398
Removed,Stemming,"(1, 3)",2000,SVM,0.7880794701986755,0.7721842076680786,0.6786526444621126,0.7082463296351432
Removed,Stemming,"(1, 3)",4000,NaiveBayes,0.7792494481236203,0.8010487471439087,0.6794711134278639,0.7076510038672947
Not Removed,Lemmatizing,"(3, 3)",2000,NaiveBayes,0.7704194260485652,0.7316876594828464,0.6929705860155889,0.7076443417827463
Removed,Lemmatizing,"(1, 1)",2000,RandFrst,0.7836644591611479,0.7647878614916287,0.6803811409305273,0.7054821951376208
Not Removed,None,"(3, 3)",4000,NaiveBayes,0.7660044150110376,0.7173910036458914,0.6947956138487991,0.7047543997898608
Removed,Stemming,"(1, 2)",4000,SVM,0.7792494481236203,0.7776403038329812,0.6729198514704068,0.7044574064741891
Removed,Lemmatizing,"(1, 3)",4000,LogReg,0.7814569536423841,0.7531457027255347,0.6766327987835877,0.702764514417631
Removed,Lemmatizing,"(1, 2)",2000,NaiveBayes,0.7726269315673289,0.8023714310285518,0.6755077696047889,0.7009726106442792
Removed,None,"(1, 1)",2000,SVM,0.7748344370860927,0.724190555987791,0.6859746947414976,0.7004226975790956
Removed,Stemming,"(2, 2)",4000,NaiveBayes,0.7748344370860927,0.774963924963925,0.6678943701152935,0.6993124655694709
Not Removed,None,"(3, 3)",2000,NaiveBayes,0.7637969094922737,0.7271146254879275,0.6828163639969601,0.6990242010086241
Removed,None,"(1, 2)",2000,NaiveBayes,0.7770419426048565,0.7749125782219269,0.6794778413714707,0.6986057426683279
Removed,Lemmatizing,"(2, 2)",4000,NaiveBayes,0.7726269315673289,0.7658339584896224,0.6667491571056737,0.697654785300795
Removed,None,"(1, 3)",4000,LogReg,0.7814569536423841,0.7628355653396929,0.6669507028945953,0.6971019488095642
Removed,None,"(1, 3)",2000,SVM,0.7836644591611479,0.7606230431236352,0.6693797830559959,0.6962490494055981
Removed,Lemmatizing,"(1, 3)",4000,NaiveBayes,0.7726269315673289,0.8030615432677287,0.6675053194632388,0.6932114455592716
Removed,Lemmatizing,"(1, 2)",4000,SVM,0.7726269315673289,0.7677573556339697,0.6594063379568932,0.6915484814186001
Removed,None,"(1, 2)",4000,SVM,0.7726269315673289,0.774991232535777,0.6561789726605624,0.6901881780392722
Not Removed,Lemmatizing,"(2, 2)",2000,RandFrst,0.7726269315673289,0.8341007828736743,0.6401740723774623,0.6867242577858063
Removed,Stemming,"(1, 2)",2000,RandFrst,0.7792494481236203,0.8014389218219587,0.6467051505040985,0.6850201360005282
Removed,Stemming,"(1, 2)",4000,RandFrst,0.7770419426048565,0.7801420801420802,0.6487873027908094,0.6844431714183502
Removed,Lemmatizing,"(1, 3)",2000,SVM,0.7770419426048565,0.7460337411317802,0.6590936348388131,0.6827477850093385
Not Removed,Stemming,"(2, 2)",4000,RandFrst,0.7704194260485652,0.836940836940837,0.6355376416744037,0.6825081195731424
Removed,Stemming,"(1, 3)",4000,SVM,0.7726269315673289,0.7577483345076272,0.6461010981759082,0.6779497206860188
Removed,Lemmatizing,"(1, 3)",4000,SVM,0.7682119205298014,0.7533974445798908,0.6449626131098954,0.6756513276317943
Removed,None,"(1, 2)",2000,RandFrst,0.7726269315673289,0.7772022650304637,0.6410621609335811,0.6746535651297556
Removed,None,"(2, 2)",4000,NaiveBayes,0.7615894039735099,0.7534753550543024,0.6442266345831512,0.6743028251055775
Not Removed,None,"(2, 2)",4000,RandFrst,0.7615894039735099,0.816730259646255,0.6309567896359246,0.6741353085467613
Not Removed,None,"(2, 2)",2000,RandFrst,0.7660044150110376,0.7949327954672137,0.6332472156551643,0.6734061393152303
Not Removed,Lemmatizing,"(2, 2)",4000,RandFrst,0.7637969094922737,0.8117283950617283,0.6270630654032173,0.6703785510690882
Not Removed,Stemming,"(2, 3)",2000,RandFrst,0.7571743929359823,0.8116331677223764,0.6251751459232465,0.6687822070558226
Not Removed,Stemming,"(3, 3)",2000,LogReg,0.7571743929359823,0.8167430509893978,0.624383588731923,0.6687054996027634
Removed,None,"(1, 3)",4000,SVM,0.7660044150110376,0.7529804120229652,0.6358149499587255,0.6678174151045791
Not Removed,Lemmatizing,"(3, 3)",2000,LogReg,0.7549668874172185,0.8065157353885678,0.6215587299748608,0.6646780489556857
Removed,Stemming,"(1, 3)",4000,RandFrst,0.7704194260485652,0.7660049127220515,0.6334622173312997,0.6645064286444547
Not Removed,None,"(3, 3)",2000,LogReg,0.7549668874172185,0.803654970760234,0.6215587299748608,0.6640504548412437
Not Removed,Stemming,"(2, 2)",2000,RandFrst,0.7615894039735099,0.8436881524312159,0.6175196236563858,0.6629629485792518
Not Removed,None,"(2, 3)",2000,RandFrst,0.7593818984547461,0.8140766342379245,0.6180540563942083,0.6607973835297463
Removed,Lemmatizing,"(1, 2)",4000,RandFrst,0.7615894039735099,0.7395111737309694,0.6323725829862593,0.6603731212915274
Removed,Stemming,"(2, 3)",2000,LogReg,0.7615894039735099,0.7500429996560029,0.6297694538489396,0.6588615137563203
Removed,Lemmatizing,"(2, 3)",2000,LogReg,0.7571743929359823,0.7389143002350549,0.630442540728923,0.6580955323392228
Removed,Lemmatizing,"(1, 3)",4000,RandFrst,0.7660044150110376,0.7630826335645612,0.6261328540697332,0.6580398736960799
Removed,Stemming,"(2, 2)",2000,NaiveBayes,0.7637969094922737,0.8120796704463413,0.6230441429155632,0.6580222712298184
Removed,None,"(2, 3)",2000,LogReg,0.7571743929359823,0.7431814831195637,0.6272151754325922,0.6561005329310143
Not Removed,Lemmatizing,"(2, 3)",4000,RandFrst,0.7505518763796909,0.7728952252889019,0.6179844368038406,0.6559913711428863
Removed,Stemming,"(2, 2)",2000,LogReg,0.7549668874172185,0.7527215901109706,0.6218225823719687,0.6557471264367817
Not Removed,None,"(3, 3)",4000,SVM,0.7527593818984547,0.872677119628339,0.6046724690792488,0.6557261985253872
Not Removed,Lemmatizing,"(3, 3)",4000,SVM,0.7527593818984547,0.872677119628339,0.6046724690792488,0.6557261985253872
Removed,Lemmatizing,"(1, 3)",2000,NaiveBayes,0.7549668874172185,0.7662958291061194,0.6379240140198644,0.6541477272727274
Removed,Lemmatizing,"(2, 2)",2000,NaiveBayes,0.7571743929359823,0.7838034494127811,0.6177969319407075,0.6531084882885067
Removed,None,"(2, 2)",2000,NaiveBayes,0.7571743929359823,0.8016310972231455,0.6161172861932651,0.6520331524091413
Removed,Stemming,"(1, 3)",2000,NaiveBayes,0.7505518763796909,0.7630483337800412,0.6353697356035171,0.6511077161017748
Not Removed,Stemming,"(3, 3)",4000,LogReg,0.7505518763796909,0.8313118651823997,0.6052069018170713,0.6507660668569106
Removed,Stemming,"(1, 3)",2000,RandFrst,0.7637969094922737,0.7853153161876727,0.6198167776192324,0.6503443630546434
Not Removed,None,"(3, 3)",4000,LogReg,0.7483443708609272,0.8303986231732673,0.6039297626088976,0.6497011041306061
Removed,Stemming,"(2, 3)",4000,NaiveBayes,0.7549668874172185,0.7546300877366581,0.6196152318303106,0.6494029391703292
Not Removed,Lemmatizing,"(3, 3)",4000,LogReg,0.7483443708609272,0.8254392666157372,0.6039297626088976,0.649023906372654
Removed,None,"(2, 3)",4000,NaiveBayes,0.7505518763796909,0.753378698852191,0.6155132338650748,0.6460981526650873
Removed,Lemmatizing,"(2, 2)",4000,SVM,0.7505518763796909,0.7596622344288487,0.6099819866622905,0.6443627912819546
Removed,Stemming,"(2, 2)",4000,LogReg,0.7461368653421634,0.7444963380251549,0.6123347192897163,0.6440335043047248
Removed,Lemmatizing,"(2, 3)",4000,NaiveBayes,0.7505518763796909,0.744888648483259,0.6139655143161864,0.6435417348903697
Not Removed,Stemming,"(2, 3)",4000,RandFrst,0.7505518763796909,0.8201000557629302,0.6015837579250788,0.6428879524397338
Not Removed,None,"(2, 3)",4000,RandFrst,0.7483443708609272,0.8118150674234353,0.6005704711140128,0.6426193183474737
Removed,None,"(1, 2)",4000,RandFrst,0.7527593818984547,0.7479539981296129,0.6107314210762487,0.6425562574837937
Removed,None,"(2, 2)",2000,LogReg,0.7483443708609272,0.7323391947285752,0.6116683603533399,0.6422106022358457
Not Removed,Stemming,"(3, 3)",4000,SVM,0.7461368653421634,0.8597415228994176,0.5928386013131776,0.6405146781374991
Removed,Lemmatizing,"(1, 2)",2000,RandFrst,0.7593818984547461,0.7318523963702038,0.6126193405562196,0.6382241714509064
Not Removed,Lemmatizing,"(2, 3)",2000,RandFrst,0.7505518763796909,0.7922803756137089,0.6000360383761904,0.6375953159041394
