Stop_Words,Pre-Processing,Model,No_of_Features,Classifier,Accuracy,Precision,Recall,F-Score
Not Removed,Lemmatizing,Dist. Memory,600,LogReg,0.6777041942604857,0.4164552005012531,0.4942312271359612,0.4518335150505265
Not Removed,Lemmatizing,Dist. Memory,900,DescTree,0.6666666666666666,0.4134830823335886,0.5002272874862004,0.451686359403795
Not Removed,Stemming,Dist. Memory,600,DescTree,0.6622516556291391,0.4127946127946127,0.5007684481676299,0.4510438724654098
Not Removed,None,Dist. Memory,900,LogReg,0.673289183222958,0.4144785674522175,0.4932246682685022,0.4503628222942721
Not Removed,Lemmatizing,Dist. Memory,900,LogReg,0.6754966887417219,0.4145352900069881,0.4929540879277875,0.4502515581587444
Removed,Lemmatizing,Dist. Memory,600,DescTree,0.6777041942604857,0.4218570545101157,0.4849449098426304,0.448065528058557
Not Removed,Lemmatizing,Dist. Memory,300,LogReg,0.6710816777041942,0.4112721417069243,0.4903998095114401,0.4473379629629629
Not Removed,None,DBOW,900,RandFrst,0.6578366445916115,0.6113852339181287,0.4542537862233946,0.4466445182724253
Not Removed,None,Dist. Memory,600,LogReg,0.6688741721854304,0.4109760623492299,0.4891226703032664,0.446584747840776
Not Removed,None,Dist. Memory,300,LogReg,0.6644591611479028,0.4090791061418381,0.4881161114358075,0.4451046072294591
Not Removed,Stemming,Dist. Memory,900,LogReg,0.6622516556291391,0.4072570947570947,0.4868389722276338,0.4434770165059006
Removed,None,Dist. Memory,900,DescTree,0.6379690949227373,0.4692325838822653,0.4654476217889426,0.4426606368946674
Removed,None,Dist. Memory,300,DescTree,0.6644591611479028,0.4070959992608334,0.4850206723380306,0.4426093950000565
Not Removed,Stemming,Dist. Memory,900,DescTree,0.6622516556291391,0.4057400738073007,0.4868389722276338,0.4425099552982152
Not Removed,Stemming,Dist. Memory,600,LogReg,0.6622516556291391,0.4065424806905952,0.4852912526787453,0.4424356729085275
Not Removed,None,Dist. Memory,900,DescTree,0.6688741721854304,0.4069512195121951,0.4798363530099356,0.4396514983196741
Removed,Stemming,Dist. Memory,300,DescTree,0.6578366445916115,0.4030474649406688,0.4827369742623979,0.439283960537476
Not Removed,Lemmatizing,Dist. Memory,300,DescTree,0.6644591611479028,0.4025249925918994,0.4788297941424768,0.4372377303411786
Removed,Stemming,Dist. Memory,900,DescTree,0.6578366445916115,0.4024250743536948,0.4734506569690673,0.4342158098706635
Not Removed,Stemming,Dist. Memory,300,LogReg,0.6534216335540839,0.3992154519196145,0.4755395371993852,0.4340396878121088
Removed,Lemmatizing,Dist. Memory,300,DescTree,0.6600441501103753,0.4029819292977187,0.4669891984327987,0.4298787479391011
Removed,Stemming,Dist. Memory,600,DescTree,0.6534216335540839,0.4035168278320998,0.4631577808082776,0.4276526938800415
Not Removed,Stemming,DBOW,600,DescTree,0.6181015452538632,0.5371752496712514,0.4447989778206025,0.427372241134426
Not Removed,Lemmatizing,DBOW,600,DescTree,0.6026490066225165,0.4484706687018825,0.4238730255679408,0.4159161632802489
Removed,Lemmatizing,Dist. Memory,900,LogReg,0.6269315673289183,0.3820645479182065,0.4493798298590818,0.4121012981724484
Removed,Stemming,DBOW,300,RandFrst,0.609271523178808,0.4953351715444302,0.4199658454480195,0.4094459306149077
Removed,Lemmatizing,Dist. Memory,900,DescTree,0.6467991169977925,0.3943985307621671,0.4438491676948719,0.4091880341880342
Not Removed,Stemming,DBOW,900,DescTree,0.6357615894039735,0.3828984567734499,0.4436543498495573,0.4076783208249435
Removed,None,DBOW,300,RandFrst,0.5938189845474614,0.4822310296424738,0.4111577971893577,0.4029713189211059
Removed,Lemmatizing,Dist. Memory,600,LogReg,0.6114790286975718,0.3712721065857474,0.440439855401866,0.4026489032172142
Removed,Stemming,DBOW,900,SVM,0.5408388520971302,0.4439042314535468,0.4657372158833293,0.4018601094464286
Not Removed,Stemming,DBOW,300,DescTree,0.6225165562913907,0.3749182789999116,0.4359915146005151,0.4004492467371519
Removed,Lemmatizing,DBOW,900,RandFrst,0.5960264900662252,0.5277264957264957,0.4092075711012006,0.3993799574076246
Removed,Stemming,Dist. Memory,900,LogReg,0.6269315673289183,0.3763476900731803,0.4339026343701972,0.3986531986531987
Not Removed,Lemmatizing,DBOW,900,DescTree,0.609271523178808,0.5492321589882565,0.416474627754581,0.3986523764301541
Removed,None,Dist. Memory,600,DescTree,0.6313465783664459,0.3744122400999192,0.4349091932376561,0.3985231132772116
Removed,Stemming,DBOW,600,SVM,0.5386313465783664,0.4316669810727536,0.4629123571262672,0.3967964117923211
Removed,None,DBOW,600,RandFrst,0.6026490066225165,0.5148987681911299,0.4098116234293908,0.3957774291412819
Removed,Stemming,Dist. Memory,600,LogReg,0.6181015452538632,0.3694379497217842,0.4287940775375025,0.3934837092731829
Removed,Stemming,DBOW,300,SVM,0.5364238410596026,0.4195488619719936,0.4633148636655358,0.3930936010767943
Removed,Lemmatizing,Dist. Memory,300,LogReg,0.5938189845474614,0.3593052680009201,0.4286750221875879,0.3909143518518519
Not Removed,None,DBOW,900,DescTree,0.5982339955849889,0.3584508145363408,0.4265861419572699,0.3894050876242591
Removed,Stemming,Dist. Memory,300,LogReg,0.6136865342163356,0.3660130718954248,0.4231443600233781,0.388235294117647
Removed,None,Dist. Memory,900,LogReg,0.5827814569536424,0.3543894389438944,0.4253847652444964,0.3864718958399492
Removed,Lemmatizing,DBOW,600,DescTree,0.5894039735099338,0.3531170922475271,0.4214775851245751,0.3842592592592592
Removed,Stemming,DBOW,300,DescTree,0.5783664459161147,0.3518915826360581,0.422830486828149,0.3834845167344385
Removed,None,Dist. Memory,600,LogReg,0.5783664459161147,0.3509354782304599,0.4212827672792605,0.3826369667413558
Removed,Lemmatizing,DBOW,600,RandFrst,0.5982339955849889,0.5124444444444444,0.4023503339692702,0.3823352143597709
Removed,Lemmatizing,DBOW,900,SVM,0.5187637969094923,0.3956486884023116,0.4466430194074846,0.380572489443748
Removed,Lemmatizing,DBOW,600,SVM,0.5187637969094923,0.3956486884023116,0.4466430194074846,0.380572489443748
Removed,Lemmatizing,DBOW,300,SVM,0.5187637969094923,0.3990220684407288,0.4466430194074846,0.3801573405712974
Removed,None,DBOW,900,DescTree,0.58719646799117,0.3488486842105263,0.4155572872697362,0.3791420662730604
Removed,None,DBOW,900,RandFrst,0.58719646799117,0.4396779057050155,0.3960965641269557,0.379000979000979
Removed,Stemming,DBOW,600,DescTree,0.5761589403973509,0.3476569330302499,0.41691018897331,0.3788849347568209
Removed,Stemming,DBOW,900,DescTree,0.5739514348785872,0.3465375204505639,0.4156330497651363,0.3775910364145658
Removed,None,DBOW,300,DescTree,0.5805739514348786,0.3453063126019101,0.411725869645215,0.3755191018088067
Removed,Lemmatizing,DBOW,300,LogReg,0.5805739514348786,0.345124327333457,0.411725869645215,0.3754370669064291
Removed,Lemmatizing,DBOW,600,LogReg,0.5805739514348786,0.345124327333457,0.411725869645215,0.3754370669064291
Removed,Lemmatizing,DBOW,900,LogReg,0.5805739514348786,0.345124327333457,0.411725869645215,0.3754370669064291
Removed,None,DBOW,300,LogReg,0.5805739514348786,0.345124327333457,0.411725869645215,0.3754370669064291
Removed,None,Dist. Memory,300,LogReg,0.5695364238410596,0.3443346738940374,0.4130787713487889,0.375326215895611
Removed,Lemmatizing,DBOW,300,DescTree,0.5783664459161147,0.3440728026226263,0.4104487304370414,0.3742836643689435
Removed,Lemmatizing,DBOW,900,DescTree,0.5783664459161147,0.3437543133195307,0.4104487304370414,0.3741319444444444
Removed,Stemming,DBOW,600,LogReg,0.5805739514348786,0.343885394828791,0.4101781500963266,0.374035466173335
Removed,Stemming,DBOW,900,LogReg,0.5805739514348786,0.3437248716521309,0.4101781500963266,0.3739657975279041
Removed,Stemming,DBOW,300,LogReg,0.5827814569536424,0.3440243557065987,0.4099075697556118,0.373901489117984
Removed,None,DBOW,600,DescTree,0.5761589403973509,0.3428501031753364,0.4091715912288676,0.3730496935920526
Removed,None,DBOW,300,SVM,0.5121412803532008,0.3836348560229157,0.441263882234075,0.3724121809085148
Removed,None,DBOW,900,SVM,0.5121412803532008,0.3866203226101579,0.441263882234075,0.3720534620556008
Removed,None,DBOW,900,LogReg,0.5739514348785872,0.3413738019169329,0.4078944520206939,0.371678866290324
Removed,None,DBOW,600,LogReg,0.5739514348785872,0.3413738019169329,0.4078944520206939,0.371678866290324
Not Removed,None,DBOW,300,DescTree,0.5695364238410596,0.3410637839169669,0.406887893153235,0.3710424666689321
Removed,Stemming,DBOW,600,RandFrst,0.5960264900662252,0.4565265364669535,0.3977139032662118,0.3708143024924963
Removed,None,DBOW,600,SVM,0.5099337748344371,0.3857166408362065,0.4399867430259013,0.3707367768608947
Not Removed,None,DBOW,600,DescTree,0.6004415011037527,0.3549445865302643,0.4030997683832283,0.3683590864118247
Removed,Stemming,DBOW,900,RandFrst,0.5960264900662252,0.5050148544266191,0.3946184641684349,0.3657810011691942
Removed,Lemmatizing,DBOW,300,RandFrst,0.5849889624724062,0.4562729619700129,0.3883646943261203,0.3637781458339238
Not Removed,None,DBOW,900,LogReg,0.5540838852097131,0.3845152556492763,0.3618580591111275,0.3338071541097101
Not Removed,None,DBOW,600,LogReg,0.5496688741721855,0.3572008113590263,0.35130133055323,0.3179399720723669
Not Removed,None,DBOW,300,LogReg,0.5496688741721855,0.3619528619528619,0.3497536110043416,0.3145940505487427
Not Removed,Stemming,DBOW,900,LogReg,0.565121412803532,0.3983218993812214,0.3572777921112228,0.31383987227913
Not Removed,Stemming,DBOW,600,LogReg,0.5673289183222958,0.4096723026560021,0.3568752855719542,0.3133522497894968
Not Removed,Stemming,DBOW,300,LogReg,0.5761589403973509,0.47339593114241,0.3587564771083182,0.310823093571732
Not Removed,Lemmatizing,DBOW,900,LogReg,0.5474613686534217,0.3445954630165156,0.3470606784458334,0.3072836205189146
Not Removed,Lemmatizing,DBOW,600,LogReg,0.5496688741721855,0.3508536351429119,0.3466581719065646,0.3064484726418261
Not Removed,Lemmatizing,DBOW,300,LogReg,0.5629139072847682,0.3798904039760417,0.351093641859276,0.3059644750936113
Not Removed,Lemmatizing,DBOW,300,DescTree,0.5938189845474614,0.347601246105919,0.3605753620364959,0.3009192065795839
